Name          (SISO);Slug;Page Description;Keywords;Status;;WEB Prd id;Polygon;Texture format;Texture resolution;Original Image;Category;File format
Bae  Hawk;BAe_Hawk_200;Bae Hawk;Bae, Hawk Hawker Siddeley;1;;119;12000;rgb;2048;BAe_Hawk_200_01.jpg;Attack/Strike;max, flight
Boeing  737;Boeing-737;Boeing 737;Boeing, 737;1;;690;12000;rgb;2048;Boeing-737_01.jpg;Non-Combatant Commercial Aircraft;max, flight
Boeing  747-400;Boeing_747;Boeing 747-400;Boeing, 747-400 Jumbo Jet;1;;69;12000;rgb;2048;Boeing_747_01.jpg;Non-Combatant Commercial Aircraft;max, flight
C-12 Huron;C-12_Huron;C-12 Huron;C-12, Huron Beechcraft Super King Air  Beechcraft 1900;1;;81;12000;rgb;2048;C-12_Huron_01.jpg;Cargo/Tanker;max, flight
Lockheed  C-130;C-130;Lockheed C-130;Lockheed, C-130 RC-130;1;;767;12000;rgb;2048;C-130_01.jpg;Cargo/Tanker;max, flight
C-141B  Starlifter;C-141B_Starlifter;C-141B Starlifter;C-141B, Starlifter C-124 Globemaster  C-17;1;;82;12000;rgb;2048;C-141B_Starlifter_01.jpg;Cargo/Tanker;max, flight
Short C-23A  Sherpa;C23_Sherpa;C-23A Sherpa;C-23A, Sherpa Short 330 Short 360;1;;83;12000;rgb;2048;C23_Sherpa_01.jpg;Cargo/Tanker;max, flight
E-2  Hawkeye;E2C_Hawkeye;E-2 Hawkeye;E-2, Hawkeye Grumman E-2C E-2D Advanced Hawkeye W2F-1;1;;100;12000;rgb;2048;E2C_Hawkeye_01.jpg;Surveillance / C2 (Airborne Early Warnin;max, flight
Boeing  E-3  Sentry;E3A;Boeing E-3 Sentry;Boeing, E-3, Sentry, E-3A;1;;102;12000;rgb;2048;E3A_01.jpg;Surveillance / C2 (Airborne Early Warnin;max, flight
EA-6  Prowler;EA-6B;EA-6 Prowler;EA-6, Prowler, A-6, Intruder EF-111A Raven EA-18 Growler;1;;103;12000;rgb;2048;EA-6B_01.jpg;Electronic Warfare (EW);max, flight
F-15  Eagle;F-15C;F-15 Eagle;F-15, Eagle Strike Eagle Sea Eagle;1;;661;12000;rgb;2048;F-15C_01.jpg;Fighter/Air Defense;max, flight
F-15E Strike Eagle;F-15E;F-15E Strike Eagle;F-15E F-15I F-15K Strike Eagle Silent Eagle;1;;815;12000;rgb;2048;F-15E_01.jpg;Fighter/Air Defense;max, flight
F-16  Fighting  Falcon;F16;F-16 Fighting Falcon;F-16, Fighting, Falcon;1;;;12000;rgb;2048;F16_01.jpg;Fighter/Air Defense;max, flight
F-4  Phantom  II;F4_Phantom;F-4 Phantom II;F-4, Phantom, II  Rhino Double Ugly Flying Anvil Flying Footlocker Flying Brick Lead Sled Big Iron Sled St. Louis Slugger;1;;659;12000;rgb;2048;F4_Phantom_01.jpg;Reconnaissance;max, flight
FA-18  Hornet;FA-18C;FA-18 Hornet;FA-18, Hornet A-7 Corsair II  F-14 Tomcat A-6 Intruder;1;;;12000;rgb;2048;FA-18C_01.jpg;Fighter/Air Defense;max, flight
BAE Hawk;HAWK;BAE Hawk;HAWK, T-45 Goshawk;1;;119;12000;rgb;2048;HAWK_01.jpg;Guided;max, flight
Il-76  Candid;IL-76;Il-76 Candid;Il-76, Il-76 Candid;1;;679;12000;rgb;2048;IL-76_01.jpg;Cargo/Tanker;max, flight
Chengdu J-10;J10;J10;J10, Vigorous Dragon;1;;127;12000;rgb;2048;J10_01.jpg;Guided;max, flight
SEPECAT Jaguar;Jaguar;SEPECAT Jaguar;SEPECAT Jaguar, Jaguar;1;;128;12000;rgb;2048;Jaguar_01.jpg;Attack/Strike;max, flight
KC-10  Extender;KC-10A;KC-10 Extender;KC-10, KC-10 Extender, KC-45, Airbus A330 MRTT, Boeing KC-767, KC-135 Stratotanker,;1;;667;12000;rgb;2048;KC-10A_01.jpg;Cargo/Tanker;max, flight
Boeing  KC-135  Stratotanker;KC-135;Boeing KC-135 Stratotanker;KC-135 Stratotanker, Boeing 707,;1;;668;12000;rgb;2048;KC-135_01.jpg;Cargo/Tanker;max, flight
Boeing  B-52  Stratofortress;Boeing_B-52D;B-52 Stratofortress;Boeing, B-52 Stratofortress Convair B-36 Mach 3 XB-70 Valkyrie, supersonic B-1B Lancer and stealthy B-2 Spirit;1;;62;12000;rgb;2048;Boeing_B-52D_01.jpg;Bomber;max, flight
Aero  L-159;L-159;Aero L-159;Aero, Aero L-159, BAe Hawk, Aermacchi MB-339,  Bae Hawk, Dassault/Dornier Alpha Jet, FMA IA 63 Pampa, Kawasaki T-4, Soko G-4 Super Galeb, PZL I-22 Iryda, IAR 99 Soim, CASA 101;1;;133;12000;rgb;2048;L-159_01.jpg;Fighter/Air Defense;max, flight
MiG-25  Foxbat;Mig-25;MiG-25 Foxbat;MiG-25, Foxbat;1;;175;12000;rgb;2048;Mig-25_01.jpg;Fighter/Air Defense;max, flight
MiG-29  Fulcrum;MiG-29;MiG-29 Fulcrum;MiG-29, Fulcrum;1;;676;12000;rgb;2048;MiG-29_01.jpg;Fighter/Air Defense;max, flight
MiG-31  Foxhound;MIG-31;MiG-31 Foxhound;MiG-31, Foxhound;1;;176;12000;rgb;2048;MIG-31_01.jpg;Fighter/Air Defense;max, flight
Mirage  2000;MIRAGE_2000C;Mirage 2000;Mirage, 2000;1;;185;12000;rgb;2048;MIRAGE_2000C_01.jpg;Fighter/Air Defense;max, flight
Mirage  F-1;Mirage_F1;Mirage F-1;Mirage, F-1;1;;664;12000;rgb;2048;Mirage_F1_01.jpg;Fighter/Air Defense;max, flight
Pilatus  Flugzeugwerke  SA  PC-9;PC-9;Pilatus Flugzeugwerke SA PC-9;Pilatus, Flugzeugwerke, SA, PC-9;1;;772;12000;rgb;2048;PC-9_01.jpg;Trainer;max, flight
Pelikan;Pelikan;Pelikan;Pelikan;1;;;12000;rgb;2048;Pelikan_01.jpg;Attack/Strike;max, flight
AH-64D;AH-64D;AH-64D Apache;AH-64D, Apache Model 77 AH-1 Cobra;1;;811;12000;rgb;2048;AH-64D_01.jpg;Attack helicopter;max, flight
ARH-70;ARH-70;Bell ARH-70;Bell, ARH-70 Arapaho Armed Reconnaissance Helicopter;1;;294;12000;rgb;2048;ARH-70_01.jpg;Reconnaissance;max, flight
Boeing  Models  114/414;CH-47D;Boeing Models 114/414;Boeing, Models, 114/414;1;;705;12000;rgb;2048;CH-47D_01.jpg;Cargo helicopter;max, flight
FCS  UAV  Class  I;Class_I_UAV;FCS UAV Class I;FCS, UAV Class I;1;;9;12000;rgb;2048;Class_I_UAV_01.jpg;Unmanned;max, flight
FCS  UAV  Class  II;Class_II_UAV;FCS UAV Class II;FCS, UAV Class II;1;;10;12000;rgb;2048;Class_II_UAV_01.jpg;Unmanned;max, flight
FCS  UAV  Class  III;Class_III_UAV;FCS UAV Class III;FCS, UAV Class III;1;;11;12000;rgb;2048;Class_III_UAV_01.jpg;Unmanned;max, flight
FCS  UAV  Class  IV;Class_IV_UAV;FCS UAV Class IV;FCS, UAV Class IV;1;;12;12000;rgb;2048;Class_IV_UAV_01.jpg;Unmanned;max, flight
MAV;MAV;MAV;MAV;1;;;12000;rgb;2048;MAV_01.jpg;Unmanned;max, flight
Mi-2UPR;Mi-2UPR;Mi-2UPR;Mi-2UPR;1;;;12000;rgb;2048;Mi-2UPR_01.jpg;;max, flight
Mi-28  Havoc;MI-28_Havoc;Mi-28 Havoc;Mi-28, Havoc;1;;173;12000;rgb;2048;MI-28_Havoc_01.jpg;Attack helicopter;max, flight
RQ-8A;RQ-8A;RQ-8A;RQ-8A;1;;;12000;rgb;2048;RQ-8A_01.jpg;Unmanned;max, flight
Sikorsky  S-92;S-92_Sikorsky;S-92 Sikorsky;S-92, Sikorsky;1;;793;12000;rgb;2048;S-92_Sikorsky_01.jpg;Cargo helicopter;max, flight
DDG-1000  Zumwalt;DDG-1000_Zumwalt;DDG-1000 Zumwalt;DDG-1000, Zumwalt DD-21 ddg Arleigh Burke  DDG 51;1;;268;12000;rgb;2048;DDG-1000_Zumwalt_01.jpg;Destroyer;max, flight
USS Kitty  Hawk;KittyHawk;John F-Kennedy Class Kitty Hawk;John F-Kennedy Class, Kitty Hawk, CV-63;1;;130;12000;rgb;2048;KittyHawk_01.jpg;Carrier;max, flight
Sawar  Class  inshore  patrol  boat;Patrolboat_Sing;Sawar Class inshore patrol boat;Sawar, Class, inshore, patrol, boat;1;;;12000;rgb;2048;Patrolboat_Sing_01.jpg;Light/Patrol Craft;max, flight
AAV7A1 (amphibious assault vehicle);AAVc7A;AAV7A1 (amphibious assault vehicle);AAV7A1, amphibious assault vehicle;1;;748;12000;rgb;2048;AAVc7A_01.jpg;Armored Fighting Vehicle;max, flight
AMX-30;AMX-30;AMX-30;AMX-30, AMX-30B2 AMX-30D AMX-30R;1;;733;12000;rgb;2048;AMX-30_01.jpg;Tank;max, flight
Buffel  ARV;Armed_Robotic_Vehicle_ARV;Buffel ARV;Buffel, ARV Mk 1;1;;;12000;rgb;2048;Armed_Robotic_Vehicle_ARV_01.jpg;Armored Fighting Vehicle Moffel Unibuffel  Bulldog Rhino APC;max, flight
AS90  155-mm;AS_90;AS90 155-mm;AS90, 155-mm Braveheart Haubicoarmata Krab;1;;74;12000;rgb;2048;AS_90_01.jpg;Self-propelled Artillery;max, flight
BAE  Black  Knight;BAE_Black_Knight;BAE Black Knight;BAE, Black Knight Bradley;1;;711;12000;rgb;2048;BAE_Black_Knight_01.jpg;Other;max, flight
BMD-2;BMD-2;BMD-2;BMD-2, Combat vehicle Airborne;1;;64;12000;rgb;2048;BMD-2_01.jpg;Armored Fighting Vehicle;max, flight
BMD-3;BMD-3;BMD-3;BMD-3, Bakhcha combat airborne vehicle;1;;65;12000;rgb;2048;BMD-3_01.jpg;Armored Fighting Vehicle;max, flight
BMP-2;BMP-2;BMP-2;BMP-2, infantry combat vehicle BMP-1  AT-4 SPIGOT AT-5 SPANDREL;1;;730;12000;rgb;2048;BMP-2_01.jpg;Armored Fighting Vehicle;max, flight
bandvagn 206;BV206;BV206;BV206, Bandvagn;1;;274;12000;rgb;2048;BV206_01.jpg;Armored Fighting Vehicle;max, flight
M4 Command and Control Vehicle (C2V);C2V;C2V;C2V;1;;731;12000;rgb;2048;C2V_01.jpg;Armored Fighting Vehicle;max, flight
Challenger  MBT;Challenger1;Challenger MBT;FV4030/4, Challenger MBT;1;;5;12000;rgb;2048;Challenger1_01.jpg;Tank;max, flight
SA-5  Gammon;S-200_SA-5_GAMMON;SA-5 Gammon SAM System;SA-5, Gammon, SAM, System;1;;204;12000;rgb;2048;S-200_SA-5_GAMMON_01.jpg;Guided;max, flight
SA-2  Missile  Launcher;Sa-2;SA-2 Missile Launcher;SA-2, Missile, Launcher;1;;209;12000;rgb;2048;Sa-2_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
Type  63  130mm  Multiple  Rocket  Launcher  MRL;Type_63_MRL;Type 63 130mm Multiple Rocket Launcher MRL;Type, 63, 130mm, Multiple, Rocket, Launcher, MRL;1;;686;12000;rgb;2048;Type_63_MRL_01.jpg;;max, flight
ZPU-4;ZPU-4;ZPU-4;ZPU-4;1;;227;12000;rgb;2048;ZPU-4_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
ZU-23  twin  23mm  AA  Gun;ZU_23_2;ZU-23 twin 23mm AA Gun;ZU-23, twin, 23mm, AA, Gun;1;;695;12000;rgb;2048;ZU_23_2_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
AH-1W;AH-1W;Supercobra AH-1W;Hueycobra, Seacobra Supercobra AH-1W;1;;739;12000;rgb;2048;AH-1W_01.jpg;Attack helicopter;max, flight
AH-64  Apache;AH-64A;AH-64A;McDonnell-Douglas, AH-64 Apache Model 77 AH-1 Cobra;1;;764;12000;rgb;2048;AH-64A_01.jpg;Attack helicopter;max, flight
FCS  Command  and  Control  Vehicle;Command_and_Control_Vehicle_C2V;FCS Command and Control Vehicle;Command, and Control Vehicle (C2V);1;;5;12000;rgb;2048;Command_and_Control_Vehicle_C2V_01.jpg;Armored Fighting Vehicle;max, flight
FV  101  Scorpion;FV101_SCORPION;FV 101 Scorpion;FV101, FV 101 Scorpion,  Sabre,;1;;109;12000;rgb;2048;FV101_SCORPION_01.jpg;Armored Fighting Vehicle;max, flight
FV103  Spartan;FV103_Spartan;FV 103 Spartan APC;FV103, FV120 Spartan, FV103 Spartan  APC,FV102 Striker;1;;216;12000;rgb;2048;FV103_Spartan_01.jpg;Armored Fighting Vehicle;max, flight
FV 105  Sultan;FV105;FV105 Sultan;FV105, FV105 Sultan;1;;791;12000;rgb;2048;FV105_01.jpg;Armored Fighting Vehicle;max, flight
Irobot  Packbot  Explorer;Irobot_Packbot_Explorer;Irobot Packbot Explorer;Irobot, Packbot, Explorer;1;;17;12000;rgb;2048;Irobot_Packbot_Explorer_01.jpg;;max, flight
;Leclerc;Leclerc;Leclerc;1;;135;12000;rgb;2048;Leclerc_01.jpg;Tank;max, flight
Leopard MBT;Leopard_C2A1_MEXAS;Leopard C2A1 MEXAS;Leopard, Leopard C2A1, Leopard MEXAS, C2A1, Mexas;1;;727;12000;rgb;2048;Leopard_C2A1_MEXAS_01.jpg;Tank;max, flight
Multifunction Utility/Logistics Equipment Vehicle;FCS_MULE;FCS MULE;FCS, MULE;1;;;12000;rgb;2048;FCS_MULE_01.jpg;Small Wheeled Utility Vehicle;max, flight
M1A2;M1A2;M1A2;M1A2;1;;279;12000;rgb;2048;M1A2_01.jpg;Tank;max, flight
M60  Main  Battle  Tank  MBT;M60A3;M60 Main Battle Tank MBT;M60, Main, Battle, Tank, MBT;1;;812;12000;rgb;2048;M60A3_01.jpg;Tank;max, flight
FMC  M113  Armored  Personnel  Carrier  APC;M113;FMC M113 Armored Personnel Carrier APC;FMC, M113, Armored, Personnel, Carrier, APC;1;;805;12000;rgb;2048;M113_01.jpg;Armored Fighting Vehicle;max, flight
M901A1;M901A3;M901A1;M901A1;1;;168;12000;rgb;2048;M901A3_01.jpg;Armored Fighting Vehicle;max, flight
FCS  Medical  Vehicle-Evacuation;Medical_Vehicle_MV;FCS Medical Vehicle-Evacuation;FCS, Medical, Vehicle-Evacuation;1;;6;12000;rgb;2048;Medical_Vehicle_MV_01.jpg;Armored Fighting Vehicle;max, flight
FCS  Armed  Robotic  vehicle-STA;MULE_Armed_Robotic_Vehicule_ARVA-L;FCS Armed Robotic vehicle-STA;FCS, Armed, Robotic, vehicle-STA;1;;14;12000;rgb;2048;MULE_Armed_Robotic_Vehicule_ARVA-L_01.jpg;Armored Fighting Vehicle;max, flight
FCS  MULE  Countermine;MULE_Mine_Clearing;FCS MULE Countermine;FCS, MULE, Countermine;1;;16;12000;rgb;2048;MULE_Mine_Clearing_01.jpg;Small Wheeled Utility Vehicle;max, flight
FCS  MULE  Transport;MULE_Transport;FCS MULE Transport;FCS, MULE, Transport;1;;15;12000;rgb;2048;MULE_Transport_01.jpg;Small Wheeled Utility Vehicle;max, flight
RSV  Recon  and  Surveillance  Vehicle;Multifunctional_Utility_Logistics_and_Equipment_MULE_Darpa;RSV Recon and Surveillance Vehicle;RSV, Recon, and, Surveillance, Vehicle;1;;;12000;rgb;2048;Multifunctional_Utility_Logistics_and_Equipment_MULE_Darpa_01.jpg;Large Wheeled Utility Vehicle;max, flight
FRMV  Recovery  and  Maintenance  Vehicle;FRMV_Recovery_and_Maintenance_Vehicle;FRMV Recovery and Maintenance Vehicle;FRMV, Recovery, and, Maintenance, Vehicle;1;;8;12000;rgb;2048;FRMV_Recovery_and_Maintenance_Vehicle_01.jpg;Large Wheeled Utility Vehicle;max, flight
FCS  Recon  and  Survey  Vehicle;RSV_Recon_and_Surveillance_Vehicle;FCS Recon and Survey Vehicle;FCS, Recon, and, Survey, Vehicle;1;;7;12000;rgb;2048;RSV_Recon_and_Surveillance_Vehicle_01.jpg;Armored Utility Vehicle;max, flight
FCS  Armed  Robotic  Vehicle-RSTA;Robot_Talon;FCS Armed Robotic Vehicle-RSTA;FCS, Armed, Robotic, Vehicle-RSTA;1;;315;12000;rgb;2048;Robot_Talon_01.jpg;Armored Fighting Vehicle;max, flight
Robot  Talon  GRENADE;Robot_Talon_GRENADE;Robot Talon GRENADE;Robot, Talon, GRENADE;1;;264;12000;rgb;2048;Robot_Talon_GRENADE_01.jpg;;max, flight
Robot  Talon  SWORD;Robot_Talon_SWORD;Robot Talon SWORD;Robot, Talon, SWORD;1;;265;12000;rgb;2048;Robot_Talon_SWORD_01.jpg;;max, flight
SA-4  Ganef  SAM  System;Sa-4;SA-4 Ganef SAM System;SA-4, Ganef, SAM, System;1;;264;12000;rgb;2048;Sa-4_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
SA-6  Gainful  SAM  System;SA-6;SA-6 Gainful SAM System;SA-6, Gainful, SAM, System;1;;265;12000;rgb;2048;SA-6_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
SA-19  Grison;SA-19-Grison;SA-19 Grison;SA-19, Grison;1;;;12000;rgb;2048;SA-19-Grison_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
FCS  Small  Unattended  Ground  Vehicle;Small_Unmanned_Ground_Vehicle_SUGV;FCS Small Unattended Ground Vehicle;FCS, Small, Unattended, Ground, Vehicle;1;;17;12000;rgb;2048;Small_Unmanned_Ground_Vehicle_SUGV_01.jpg;Small Wheeled Utility Vehicle;max, flight
T-80  MBT;T80UM1;T-80 MBT;T-80, MBT;1;;830;12000;rgb;2048;T80UM1_01.jpg;Tank;max, flight
T-90  MBT;T90;T-90 MBT;T-90, MBT;1;;831;12000;rgb;2048;T90_01.jpg;Tank;max, flight
Technical  019  DHSK;Technical_019_DHSK;Technical 019 DHSK;Technical, 019, DHSK;1;;704;12000;rgb;2048;Technical_019_DHSK_01.jpg;;max, flight
Type  69;Type69;Type 69;Type, 69;1;;235;12000;rgb;2048;Type69_01.jpg;Tank;max, flight
Wiesel  Oselot;Wiesel_Oselot;Wiesel Oselot;Wiesel, Oselot;1;;249;12000;rgb;2048;Wiesel_Oselot_01.jpg;;max, flight
ZSU-23  4  Quad  23mm  AAA;ZSU23-4;ZSU-23 4 Quad 23mm AAA;ZSU-23, 4, Quad, 23mm, AAA;1;;691;12000;rgb;2048;ZSU23-4_01.jpg;Air Defense / Missile Defense Unit Equip;max, flight
120  mm  HE  FRAG;120mm_HE;120mm HE FRAG;120 mm, HE FRAG;1;;735;12000;rgb;2048;120mm_HE_01.jpg;Mortar;max, flight
B-10  82-mm  recoilless  gun;B-10;B-10 82-mm recoilless gun;B-10, 82-mm recoilless gun Type 65 RG82;1;;685;12000;rgb;2048;B-10_01.jpg;Towed Artillery;max, flight
DSHK;DSHK;DSHK;DSHK, Dushka;1;;;12000;rgb;2048;DSHK_01.jpg;Mortar;max, flight
DSHK-MOUNTED;DSHK-MOUNTED;DSHK-MOUNTED;DSHK-MOUNTED;1;;;12000;rgb;2048;DSHK-MOUNTED_01.jpg;Mortar;max, flight
IED;IED;IED;IED,improvised firearm, Improvised blast;1;;820;12000;rgb;2048;IED_01.jpg;Mortar;max, flight
KPV-MOUNTED;KPV-MOUNTED;KPV-MOUNTED;KPV-MOUNTED;1;;716;12000;rgb;2048;KPV-MOUNTED_01.jpg;Mortar;max, flight
M2  60-mm;M2_STAND;M2 60-mm;M2, 60-mm;1;;270;12000;rgb;2048;M2_STAND_01.jpg;Mortar;max, flight
M2-MOUNTED;M2-MOUNTED;M2-MOUNTED;M2-MOUNTED;1;;762;12000;rgb;2048;M2-MOUNTED_01.jpg;Towed Artillerie;max, flight
106  mm  RCL40  M40;M40_STAND;106 mm RCL40 M40;106, mm, RCL40, M40;1;;763;12000;rgb;2048;M40_STAND_01.jpg;Ballistic;max, flight
Magnum;MAG_GPNG_7-62;Magnum;Magnum;1;;;12000;rgb;2048;MAG_GPNG_7-62_01.jpg;;max, flight
Mk  19  40-mm;MK_19;Mk 19 40-mm;Mk, 19, 40-mm;1;;;12000;rgb;2048;MK_19_01.jpg;Towed Artillerie;max, flight
Mortar  2B14  1;Mortar_2B14_1;Mortar 2B14 1;Mortar, 2B14, 1;1;;759;12000;rgb;2048;Mortar_2B14_1_01.jpg;Mortar;max, flight
2S12  120-mm;Mortar_2S12;2S12 120-mm;2S12, 120-mm;1;;38;12000;rgb;2048;Mortar_2S12_01.jpg;Mortar;max, flight
Type  63  130mm  Multiple  Rocket  Launcher  MRL;TYPE63_ROCKET;Type 63 130mm Multiple Rocket Launcher MRL;Type, 63, 130mm, Multiple, Rocket, Launcher, MRL;1;;820;12000;rgb;2048;TYPE63_ROCKET_01.jpg;;max, flight
The M-220 TOW Missile System;m220;m220;m220;1;;;12000;rgb;2048;m220_01.jpg;;max, flight
