"Name          (SISO)";"Slug";"Page Description";"Keywords";"Status";"DESCRIPTION";"WEB Prd id";"Polygon";"Texture format";"Texture resolution";"Original Image";"Category";"File format"
;"Technical-013_ZPU-4";;;1;;;12000;"rgb";2048;"Technical-013_ZPU-4_01.jpg";;"max, flight"
;"Technical-012_ZU-23-2";;;1;;;12000;"rgb";2048;"Technical-012_ZU-23-2_01.jpg";"Civilian Vehicle";"max, flight"
"Boeing  RC-135";"RC135";"Boeing RC-135";"Boeing, RC-135";1;"The Boeing RC-135 is a large family of reconnaissance aircraft used by the United States Air Force to support theater and national level intelligence consumers with near real-time on-scene collection, analysis and dissemination capabilities. Based on the C-135 Stratolifter airframe, various types of RC-135s have been in service since 1961. Many variants have been modified numerous times, resulting in a large variety of designations, configurations, and program names.";199;12000;"rgb";2048;"RC135_01.jpg";"Reconnaissance";"max, flight"
"RQ  Predator  Medium  Altitude  Endurance  UAV";"RQ-1A_Predator";"RQ Predator Medium Altitude Endurance UAV";"RQ, Predator, Medium, Altitude, Endurance, UAV";1;"The General Atomics MQ-1 Predator is an unmanned aerial vehicle (UAV) which the United States Air Force describes as a MALE (medium-altitude, long-endurance) UAV system. It can serve in a reconnaissance role and fire two AGM-114 Hellfire missiles. The aircraft, in use since 1995, has seen combat over Afghanistan, Pakistan, Bosnia, Serbia, Iraq, and Yemen. It is a remote-controlled aircraft.";827;12000;"rgb";2048;"RQ-1A_Predator_01.jpg";"Unmanned";"max, flight"
"Lockheed  S-3  Viking";"S-3B_viking";"Lockheed S-3 Viking";"Lockheed, S-3, Viking";1;"The Lockheed S-3 Viking was a jet aircraft used by the United States Navy to identify, track, and destroy enemy submarines. In the late 1990s, the S-3B's mission focus shifted to surface warfare and aerial refueling. The Viking also provided electronic warfare and surface surveillance capabilities to the carrier battle group. A carrier-based, subsonic, all-weather, multi-mission aircraft with long range, it carried automated weapon systems, and was capable of extended missions with in-flight refueling. Because of the engines’ high-pitched sound, it was nicknamed the ""Hoover"" after the brand of vacuum cleaner.";205;12000;"rgb";2048;"S-3B_viking_01.jpg";"Antisubmarine/patrol/observation";"max, flight"
"Boeing  ScanEagle";"ScanEagle";"Boeing ScanEagle";"Boeing, ScanEagle";1;"ScanEagle is a descendant of another Insitu UAV, SeaScan, which was conceived of as a remote sensor for collecting weather data as well as helping commercial fishermen locate and track schools of tuna. ScanEagle emerged as the result of a strategic alliance between Boeing and Insitu. The resulting technology has been successful as a portable Unmanned Aerial System (UAS) for autonomous surveillance in the battlefield, and has been deployed since August 2004 in the Iraq War.";251;12000;"rgb";2048;"ScanEagle_01.jpg";"Unmanned";"max, flight"
"Silver  Fox";"Silver_Fox";"Silver Fox";"Silver, Fox";1;"The Silver Fox UAV system was provided to the 31st MEU by Advanced Ceramics Research based out of Tucson, Az. and the Office of Naval Research, in order to conduct an extended user evaluation of the system in support of 31st MEU operations";752;12000;"rgb";2048;"Silver_Fox_01.jpg";"Unmanned";"max, flight"
"Skylark";"Skylark";"Skylark";"Skylark";1;"A close range tactical UAV designed for day, night and adverse weather real-time reconnaissance, data collection and target marking at mission ranges exceeding 50 kilometers.";;12000;"rgb";2048;"Skylark_01.jpg";"Unmanned";"max, flight"
"Su-24  Fencer";"SU-24";"Su-24 Fencer";"Su-24, Fencer";1;"The Sukhoi Su-24 (NATO reporting name Fencer) was the Soviet Union's most advanced all-weather interdiction and attack aircraft in the 1970s and 1980s. The two-seat, twin-engined aircraft carried the USSR's first integrated digital nav/attack system. In many aspects, the Su-24's configuration is similar to that of the F-111.";844;12000;"rgb";2048;"SU-24_01.jpg";"Attack/Strike";"max, flight"
"Su-27  Flanker";"Su-27";"Su-27 Flanker";"Su-27, Flanker";1;"The Sukhoi Su-27  (NATO reporting name ‘Flanker’) is a one-seat Mach-2 class jet fighter plane originally manufactured by the Soviet Union, and designed by the Sukhoi Design Bureau. It was intended as a direct competitor for the large American fourth generation fighters, with long 3,530 km range, heavy armament, sophisticated avionics and high agility. The Su-27 most often flies air superiority missions, but is able to perform almost all combat operations. Complementing the smaller MiG-29, its closest American counterpart is the F-15 Eagle.";672;12000;"rgb";2048;"Su-27_01.jpg";"Fighter/Air Defense";"max, flight"
"Su-30MKI";"Su-30MKI";"Su-30MKI";"Su-30MKI";1;"The Sukhoi Su-30 MKI (NATO reporting name Flanker-H) is a variant of the Sukhoi Su-30 jointly-developed by Russia's Sukhoi Corporation and India's Hindustan Aeronautics Limited (HAL) for the Indian Air Force (IAF). It is an air superiority fighter which can also act as a multirole, strike fighter jet.";826;12000;"rgb";2048;"Su-30MKI_01.jpg";"Fighter/Air Defense";"max, flight"
"Su-30MKK";"Su-30MKK";"Su-30MKK";"Su-30MKK";1;"The Sukhoi Su-30MKK (with NATO reporting name as Flanker-G)[1] is a modification of the Su-27 SK manufactured since 1999 by KnAAPO and Shenyang Aircraft Corporation. It is considered an upgraded version of Sukhoi Su-30. It was joint developed by Russia and China, similar to the Su-30MKI. It is a heavy class, long-range, multi-role, air superiority fighter and strike fighter.";673;12000;"rgb";2048;"Su-30MKK_01.jpg";"Fighter/Air Defense";"max, flight"
"Su-37  multirole  fighter";"SU_37";"Su-37 multirole fighter";"Su-37, multirole, fighter";1;"The Sukhoi Su-37 (NATO designation 'Flanker-F') is a Russian multi-role jet fighter aircraft. It is a single seat experimental fighter modified from Su-35 prototypes for thrust vector control testing.[2] It should not be confused with Su-47 (S-37), a forward-swept wing technology demonstrator.";729;12000;"rgb";2048;"SU_37_01.jpg";"Attack/Strike";"max, flight"
"Goshawk  T-45A";"T-45a_Goshawk";"Goshawk T-45A";"Goshawk, T-45A";1;"The T-45 Goshawk is a highly modified version of the BAE Hawk land-based training jet aircraft. Manufactured by McDonnell Douglas (now Boeing) and British Aerospace (now BAE Systems), the T-45 is used by the United States Navy as an aircraft carrier-capable trainer.";220;12000;"rgb";2048;"T-45a_Goshawk_01.jpg";"Trainer";"max, flight"
"Lockheed  U-2";"U-2_Spy_plane";"Lockheed U-2";"Lockheed, U-2";1;"The Lockheed U-2, nicknamed ""Dragon Lady"", is a single-engine, very high-altitude surveillance aircraft flown by the United States Air Force and previously flown by the Central Intelligence Agency. It provides day and night, very high-altitude (70,000 feet/21,000 meters), all-weather surveillance. The aircraft is also used for electronic sensor research and development, satellite calibration, and satellite data validation.";237;12000;"rgb";2048;"U-2_Spy_plane_01.jpg";"Reconnaissance";"max, flight"
"Bell  Boeing  V-22  Osprey";"V-22";"Bell Boeing V-22 Osprey";"Bell, Boeing, V-22, Osprey";1;"The Bell-Boeing V-22 Osprey is a multi-mission, military, tiltrotor aircraft with both a vertical takeoff and landing (VTOL) and short takeoff and landing (STOL) capability. It is designed to perform missions like a conventional helicopter with the long-range, high-speed cruise performance of a turboprop aircraft. The V-22 was developed and is manufactured by Bell Helicopter, in partnership with Boeing Rotorcraft Systems. The initial operators are the United States Marine Corps and Air Force.";706;12000;"rgb";2048;"V-22_01.jpg";"Cargo/Tanker";"max, flight"
"Warrior  ERMP";"Warrior_ERMP";"Warrior ERMP";"Warrior, ERMP";1;"The U.S. Army initiated the Extended-Range Multi-Purpose UAV competition in 2002, with the winning aircraft due to replace the RQ-5 Hunter.       “Team Warrior” leader General Atomics Aeronautical Systems, Inc. In San Diego, CA won a $214.4 million cost-plus-incentive-fee contract for research, development, test and evaluation (RDT&E) of the Extended Range/ Multi Purpose Unmanned Aerial Vehicle System (ER/MP UAS). The Warrior was designed to fill both surveillance and attack roles, and the MQ-1C Sky Warrior derived from General Atomics’ famous MQ-1 Predator beat the Hunter II system offered by Northrop Grumman, Aurora Flight Systems, and IAI.";214;12000;"rgb";2048;"Warrior_ERMP_01.jpg";"Unmanned";"max, flight"
"Watchkeeper";"Watchkeeper";"Watchkeeper";"Watchkeeper";1;;278;12000;"rgb";2048;"Watchkeeper_01.jpg";"Unmanned";"max, flight"
"2S12  120a-mm";"2S12";"2S12 120-mm";"2S12, 120mm Sani, Sani, 120 mm, 2s12 120mm";1;"The 2S12 ""Sani""  is a 120mm heavy mortar system used by the Russian Army and other former Soviet states. First fielded in 1981, the 2S12 is a continued development on the towed mortars first used in World War II.";38;12000;"rgb";2048;"2S12_01.jpg";"Mortar";"max, flight"
"S-60  57mm  AA  Gun/57 mm AZP S-60";"57MM_S60";"S-60 57mm AA Gun";"57 mm AZP S-60,  ZSU-57-2, 57mm, 57mm AZP";1;"The S-60 is a towed, road-transportable, short- to medium-range, single-barrel 57-mm antiaircraft gun system. The S-60 recoil-operated weapon replaced the earlier 37mm models in most Warsaw Pact units.   The anti-aircraft gun was given the name 57 mm AZP S-60. Grabinin continued the development and fielded the SPAAG version ZSU-57-2 in 1955.";207;12000;"rgb";2048;"57MM_S60_01.jpg";"Air Defense / Missile Defense Unit Equip";"max, flight"
"155mm  Gun-Howitzer";"G5_155mm";"155mm Gun-Howitzer";"155mm, 155 Gun-Howitzer, G5-2000, G5 Mk I, G5 Mk II, G5 Mk III";1;"The G5 is a South African towed howitzer of 155 mm calibre manufactured by Denel. Initial versions of it were based on the 45-calibre GC-45 howitzer designed by Gerald Bull, though it has gone through many modifications and variations to reach its latest model: the 52-calibre G5-2000.";110;12000;"rgb";2048;"G5_155mm_01.jpg";"Towed Artillery";"max, flight"
"KPV  TOWED";"KPV_TOWED";"KPV TOWED";"KPV, KPV TOWED, short recoil, recoil, super heavy machine gun, super machine gun";1;"The KPV is a Soviet 14.5 mm gas-assisted short recoil super-heavy machine-gun developed after the Second World War by the Russians to fire high-velocity anti-tank rounds. The KPV is belt fed and has a cyclic rate of fire of 600 rounds per minute and a muzzle velocity of 1000 meters per second. The KPV has a 1346 mm long barrel and is fitted with a cylindrical post foresight and a tangent leaf U rearsight. The KPV machine-gun is usually mounted on a towed carriage, either in a single, pair or quadruple arrangement, the mountings being known as a ZPU-1, ZPU-2 or ZPU-4 respectively.";750;12000;"rgb";2048;"KPV_TOWED_01.jpg";"Air Defense / Missile Defense Unit Equip";"max, flight"
"M-220  Tow";"M-220_Tow";"M-220 Tow";"M-220, Tow";1;"The TOW Improved Target Acquisition System (ITAS) is a materiel change to the The ITAS is a material change to the current TOW2 ground launcher and M966 HMMWV TOW2 acquisition and fire control subsystems for first-to-deploy light forces. ITAS aides in firing all versions of TOW and builds the bridge to TOW F&F. The TOW tripod and launch tube remain unchanged. ITAS significantly increases target acquisition and engagement ranges, while retaining the capability to fire all configurations of the TOW missile. ITAS uses a second-generation forward-looking infrared system, digital components, and an eyesafe laser range finder. designed to attack and defeat tanks and other armored vehicles. The system will operate in all weather conditions and on the ""dirty"" battlefield.";;12000;"rgb";2048;"M-220_Tow_01.jpg";"Towed Artillery";"max, flight"
"M115  8-inch  Howitzer";"M115_HOW";"M115 8-inch Howitzer";"M115, 8-inch, Howitzer";1;"The M115 203 mm howitzer, also known as the M115 8 inch howitzer, was a towed howitzer used by the United States Army. Originally designated the 8 inch Howitzer M1, it was designed during the buildup to World War II as a counterpart to the German 17 cm K 18 gun. The M115 could be towed by the M35 Prime Mover gun tractor or a large truck.";154;12000;"rgb";2048;"M115_HOW_01.jpg";"Towed Artillery";"max, flight"
"M901  40-mm  machine  gun";"PAC3_M901";"M901 40-mm machine gun";"M901, 40-mm, machine, gun";1;"The M901 launching station is equipped with 4 Patriot or Patriot PAC-2 sealed canisters. Each M901 has its own on-board power and can be deployed up to 1,000 meters away from the MSQ-104. Communications between the MSQ-104 and the M901 can be done by fiber optic data link or VHF signal.";168;12000;"rgb";2048;"PAC3_M901_01.jpg";;"max, flight"
"A320  AirBus";"A320";"A320 AirBus";"A320, AirBus MRTT";1;"Both the A310 MRTT and the A330 MRTT offer a series of solutions to meet the differing transport/logistic support needs of governments and air forces. For passenger carrying, configurations are available for the transportantion of VIPs, troops and casualties, including stretchers and intensive care units. Both MRTTs can be configured for all-cargo or combi roles and can carry all the types of commercial and military containers and pallets in use today.";677;12000;"rgb";2048;"A320_01.jpg";"Non-Combatant Commercial Aircraft";"max, flight"
"An-2-3  Colt";"AN-2";"An-2-3 Colt";"An-2, An-3 Colt Antonov Annushka";1;"The Antonov An-2, also nicknamed ""Annushka"", is an extremely durable, light, single-engine biplane which first flew on 31 August 1947 and was the first plane designed by Antonov. It is used as a light transport, capable of carrying 12 passengers, and for parachute drops and agricultural work. Its slow-flight and STOL capabilities make it suited for short, unimproved fields, and some specialized variants have also been built for cold weather and other extreme environments.";678;12000;"rgb";2048;"AN-2_01.jpg";"Cargo/Tanker";"max, flight"
"A-10 Thunderbolt";"A-10";"A-10 Thunderbolt";"Fairchild, Republic A-10 Thunderbolt, Warthog, flying gun, Tankbuster";1;"The A-10 Thunderbolt is also known as the Warthog, the 'flying gun' and the Tankbuster. The aircraft was used extensively during Operation Desert Storm, in support of Nato operations in response to the Kosovo crisis, in Operation Enduring Freedom in Afghanistan and in Operation Iraqi Freedom.  It was developed by Fairchild-Republic for the United States Air Force to provide close air support (CAS) of ground forces by attacking tanks, armored vehicles, and other ground targets with a limited air interdiction capability.";742;12000;"rgb";2048;"A-10_01.jpg";"Attack/Strike";"max, flight"
"Bae  Hawk";"BAe_Hawk_200";"Bae Hawk";"BAE Hawk,  Bae Hawker, BAE Siddeley, Hawker Siddely";1;"The Hawk is a tandem two-seat aircraft and has a low-mounted cantilever monoplane wing and is powered by a non-augmented turbofan engine.  The BAE Systems Hawk is a British single engine, advanced jet trainer aircraft. It first flew in 1974 as the Hawker Siddeley Hawk. The Hawk is used by the Royal Air Force, and other air forces, as either a trainer or a low-cost combat aircraft. The Hawk is still in production with over 900 Hawks sold to 18 customers around the world.";119;12000;"rgb";2048;"BAe_Hawk_200_01.jpg";"Attack/Strike";"max, flight"
"Boeing  737";"Boeing-737";"Boeing 737";"Boeing, B737, Boeing 737";1;"The Boeing 737 is a popular short-to-medium range commercial passenger jet aircraft, with a few military users and is continuously manufactured by Boeing Commercial Airplane since 1967";690;12000;"rgb";2048;"Boeing-737_01.jpg";"Non-Combatant Commercial Aircraft";"max, flight"
"Boeing  747-400";"Boeing_747";"Boeing 747-400";"Boeing 747, Boeing 747-400,  Jumbo Jet,  B747, 747-400";1;"The Boeing 747 is a widebody commercial airliner, often referred to by the nickname ""Jumbo Jet"".  It is among the world's most recognizable aircraft and was the first widebody ever produced. Manufactured by Boeing's Commercial Airplane unit in the US, the original version of the 747 was two and a half times the size of the Boeing 707  one of the common large commercial aircraft of the 1960s. First flown commercially in 1970, the 747 held the passenger capacity record for 37 years.";69;12000;"rgb";2048;"Boeing_747_01.jpg";"Non-Combatant Commercial Aircraft";"max, flight"
"C-12 Huron";"C-12_Huron";"C-12 Huron";"C-12, C-12 Huron,  Beechcraft,  Super King Air";1;"The C-12 Huron is the military designation for a series of twin-engine turboprop aircraft based on the the Beechcraft Super King Air and Beechcraft 1900. C-12 variants are used by the United States Air Force, United States Army, United States Navy and United States Marine Corps. These aircraft are used for various duties, including embassy support, medical evacuation, as well as passenger and light cargo transport.";81;12000;"rgb";2048;"C-12_Huron_01.jpg";"Cargo/Tanker";"max, flight"
"Lockheed  C-130";"C-130";"Lockheed C-130";"Lockheed, C-130,  RC-130, Lockheed C-130";1;"The Lockheed C-130 Hercules is a four-engine turboprop military transport aircraft built by Lockheed. It is the main tactical airlifter for many military forces worldwide. Over 40 models and variants of the Hercules serve with more than 50 nations.";767;12000;"rgb";2048;"C-130_01.jpg";"Cargo/Tanker";"max, flight"
"C-141B  Starlifter";"C-141B_Starlifter";"C-141B Starlifter";"C-141B, Starlifter,  C-124,  Globemaster,   C-17";1;"The Lockheed C-141 Starlifter was a military strategic airlifter in service with the Air Mobility Command (AMC) of the United States Air Force.  Introduced to replace slower piston-engined cargo planes such as the C-124 Globemaster II, the C-141 was designed to requirements set in 1960 and first flew in 1963.  The aircraft remained in service for almost 40 years until the USAF withdrew the C-141 from service on 5 May 2006, replacing the aircraft with the C-17 Globemaster III.";82;12000;"rgb";2048;"C-141B_Starlifter_01.jpg";"Cargo/Tanker";"max, flight"
"Short C-23A  Sherpa";"C23_Sherpa";"C-23A Sherpa";"C-23A, Sherpa, C-23A Sherpa, Sherpa Short, Short 330,  Short 360";1;"The Short C-23 Sherpa is a small transport aircraft built by Short Brothers. The C-23A and C-23B variants was based on the Short 330. The Short 360 derivative was modified to become C-23B+ and C-23C variants.    The Shorts also planned two freight versions. The first of these, the Short 330-UTT (for Utility Tactical Transport) was a military transport version fitted with a strengthened cabin floor, and paratroop doors.";83;12000;"rgb";2048;"C23_Sherpa_01.jpg";"Cargo/Tanker";"max, flight"
"E-2  Hawkeye";"E2C_Hawkeye";"E-2 Hawkeye";"E-2, E-2D,  E-2 Hawkeye,  E-1 Tracer, Grumman,  E-2C, E-2D,  Advanced Hawkeye,  W2F-1";1;"The Grumman E-2 Hawkeye is an American all-weather, aircraft carrier-based tactical Airborne Early Warning (AEW) aircraft. The twin turboprop aircraft was designed and developed in the 1950s by Grumman for the United States Navy as a replacement for the E-1 Tracer. The United States Navy aircraft has been progressively updated with the latest variant, the E-2D, first flying in 2007.";100;12000;"rgb";2048;"E2C_Hawkeye_01.jpg";"Surveillance / C2 (Airborne Early Warnin";"max, flight"
"Boeing  E-3  Sentry";"E3A";"Boeing E-3 Sentry";"Boeing E-3, E-3, Sentry, E-3A, Boeing Sentry";1;"The E-3A Component is the world's only integrated, multi-national flying unit, providing rapid deployability, airborne surveillance, command, control and communication for NATO operations. Fifteen of NATO's nations contribute to the E-3A program and more than 3,000 military and civilian personnel call the Geilenkirchen area home.";102;12000;"rgb";2048;"E3A_01.jpg";"Surveillance / C2 (Airborne Early Warnin";"max, flight"
"EA-6  Prowler";"EA-6B";"EA-6 Prowler";"EA-6, Prowler, A-6, Intruder, Intruder EF-111A,  Raven EA-18, Growler";1;"The Prowler is powered by two non-afterburning jet engines and capable of high subsonic speeds. Since EW operations are very demanding, the Prowler is a high-maintenance aircraft and also undergoes more frequent equipment upgrades than any other aircraft in the Navy. Although designed as an electronic escort and command and control platform for strike missions, the EA-6B is also capable of attacking surface targets on its own, especially radar antennae, surface-to-air missile launchers, and other enemy defenses. In addition, the aircraft is highly capable of gathering electronic intelligence.";103;12000;"rgb";2048;"EA-6B_01.jpg";"Electronic Warfare (EW)";"max, flight"
"F-15  Eagle";"F-15C";"F-15 Eagle";"Boeing, F-15, F-15, Eagle F-15, Eagle Strike,  Eagle,  Sea Eagle";1;"The McDonnell Douglas (now Boeing) F-15 Eagle is a twin-engine, all-weather tactical fighter designed to gain and maintain air superiority in aerial combat. Developed for the United States Air Force, it first flew in July 1972, and is one of the most recognized modern fighters. The F-15 is expected to remain in service until 2025.";661;12000;"rgb";2048;"F-15C_01.jpg";"Fighter/Air Defense";"max, flight"
"F-15E Strike Eagle";"F-15E";"F-15E Strike Eagle";"F-15E,  F-15I,  F-15K,  Strike,  Eagle,  Silent Eagle";1;"The F-15E Strike Eagle is a 1980s American all-weather strike fighter, designed for long-range interdiction of enemy ground targets deep behind enemy lines.";815;12000;"rgb";2048;"F-15E_01.jpg";"Fighter/Air Defense";"max, flight"
"F-16  Fighting  Falcon";"F16";"F-16 Fighting Falcon";"F-16,  Falcon, F-16  Falcon";1;"The Lockheed Martin F-16 Fighting Falcon is a multirole jet fighter aircraft originally developed by General Dynamics for the United States Air Force. Designed as a lightweight, day-time Visual Flight Rules (VFR) fighter, it evolved into a successful multirole aircraft. The Falcon's versatility is a paramount reason it has proven a success on the export market, having been selected to serve in the air forces of 25 nations.";;12000;"rgb";2048;"F16_01.jpg";"Fighter/Air Defense";"max, flight"
"F-4  Phantom  II";"F4_Phantom";"F-4 Phantom II";"F-4, Phantom,  Rhino,  Double Ugly,   Anvil,  Footlocker,  Lead Sled, Big Iron,  St. Louis Slugger";1;"The McDonnell Douglas F-4 Phantom II is a tandem two-seat, twin-engined, all-weather, long-range supersonic jet interceptor fighter/fighter-bomber originally developed for the U.S. Navy by McDonnell Aircraft.  It was used extensively by all three of these services during the Vietnam War, serving as the principal air superiority fighter for both the Navy and Air Force, as well as being important in the ground-attack and reconnaissance roles by the close of U.S. Involvement in the war.";659;12000;"rgb";2048;"F4_Phantom_01.jpg";"Reconnaissance";"max, flight"
"FA-18  Hornet";"FA-18C";"FA-18 Hornet";"FA-18, Hornet,  A-7,  Corsair,   F-14, Tomcat, Intruder";1;"The McDonnell Douglas (now Boeing) F/A-18 Hornet is an all-weather carrier-capable multirole fighter jet, designed to attack both ground and aerial targets.";;12000;"rgb";2048;"FA-18C_01.jpg";"Fighter/Air Defense";"max, flight"
"BAE Hawk";"HAWK";"BAE Hawk";"HAWK, T-45,  Goshawk, T-45  Goshawk, BAE T-45";1;"The BAE Systems Hawk is a British single engine, advanced jet trainer aircraft. It first flew in 1974 as the Hawker Siddeley Hawk. The Hawk is used by the Royal Air Force, and other air forces, as either a trainer or a low-cost combat aircraft. The Hawk is still in production with over 900 Hawks sold to 18 customers around the world.";119;12000;"rgb";2048;"HAWK_01.jpg";"Guided";"max, flight"
"Il-76  Candid";"IL-76";"Il-76 Candid";"Il-76, Il-76 Candid, Ilyushin, Ilyushin Il-76";1;"The Ilyushin Il-76 (NATO reporting name, Candid) is a 4-engined strategic airlifter designed in the Soviet Union and in widespread use in Europe, Asia and Africa. Originally built for the military, the plane has subsequently seen extensive service as a commercial freighter, especially for the delivery of outsized or very heavy cargo.";679;12000;"rgb";2048;"IL-76_01.jpg";"Cargo/Tanker";"max, flight"
"Chengdu J-10";"J10";"J10";"J10, Vigorous Dragon, Chengdu J-10";1;"The Jian-10 (J-10) is a multirole, all-weather fighter aircraft designed for both air-to-air and air-to-ground missions.";127;12000;"rgb";2048;"J10_01.jpg";"Guided";"max, flight"
"SEPECAT Jaguar";"Jaguar";"SEPECAT Jaguar";"SEPECAT Jaguar, Jaguar";1;"Jaguar A is a single-seat all-weather tactical strike, ground-attack fighter version for the French Air Force.";128;12000;"rgb";2048;"Jaguar_01.jpg";"Attack/Strike";"max, flight"
"KC-10  Extender";"KC-10A";"KC-10 Extender";"KC-10, KC-10 Extender, KC-45, Airbus A330,  MRTT, KC-767, KC-135 Stratotanker";1;"The KC-10 Extender is an air-to-air tanker aircraft in service with the United States Air Force derived from the civilian DC-10-30 airliner.";667;12000;"rgb";2048;"KC-10A_01.jpg";"Cargo/Tanker";"max, flight"
"Boeing  KC-135  Stratotanker";"KC-135";"Boeing KC-135 Stratotanker";"KC-135 Stratotanker, Boeing 707, KC-135";1;"The Boeing KC-135 Stratotanker is a United States aerial refueling tanker aircraft.  Similar in design to the later and enlarged Boeing 707 airliner, it was initially tasked to refuel strategic bombers, but was used extensively in the Vietnam war and later conflicts such as Desert Storm to extend the range and endurance of both Air Force and Navy tactical fighters and bombers.";668;12000;"rgb";2048;"KC-135_01.jpg";"Cargo/Tanker";"max, flight"
"Boeing  B-52  Stratofortress";"Boeing_B-52D";"B-52 Stratofortress";"Boeing, B-52 Stratofortress Convair B-36 Mach 3 XB-70 Valkyrie, supersonic B-1B Lancer and stealthy B-2 Spirit";1;"The Boeing B-52 Stratofortress is a long-range, subsonic, jet-powered, strategic bomber operated by the United States Air Force (USAF) since 1955. Beginning with the successful contract bid on 5 June 1946, the B-52 went through several design steps from a straight wing aircraft powered by six turboprop engines to the final prototype YB-52, with eight turbojet engines. The aircraft made its first flight on 15 April 1952";62;12000;"rgb";2048;"Boeing_B-52D_01.jpg";"Bomber";"max, flight"
